"value","regions"
60.7826086956522,"东四"
62.5297805642633,"天坛"
58.0440251572327,"官园"
63.692789968652,"万寿西宫"
57.8730650154799,"奥体中心"
60.0564263322884,"农展馆"
57.4263803680982,"万柳"
62.2122186495177,"北部新区"
57.0074626865672,"植物园"
64.705329153605,"丰台花园"
60.8794788273616,"云岗"
61.1072555205047,"古城"
62.8526645768025,"房山"
64.0971786833856,"大兴"
66.5299684542587,"亦庄"
73.2463768115942,"通州"
56.1987767584098,"顺义"
56.7089783281734,"昌平"
56.7578616352201,"门头沟"
65.5496894409938,"平谷"
48.9876543209877,"怀柔"
46.503125,"密云"
54.04375,"延庆"
50.76,"定陵"
48.6624203821656,"八达岭"
42.1750841750842,"密云水库"
60.9055374592834,"东高村"
74.9684542586751,"永乐店"
77.6559485530547,"榆垡"
84.3459915611814,"琉璃河"
63.9938271604938,"前门"
65.7147335423197,"永定门内"
62.4757281553398,"西直门北"
73.7083333333333,"南三环"
64.6816326530612,"东四环"
